,Name,Cuisines,City,Rating,NumberOfReviews
229,Dragon Chineese Restaurant ,"Chinese, Indian, International",Madinah,4.6,27
230,Ruby Sandwich Station ,Italian,Makkah,4.5,21
231,Hungry Hub ,American,Makkah,4.6,8
232,Fogo de Chão Brazilian Steak House ,Brazilian,Jeddah,4.5,46
233,Rainbow Freezo ,International,Jeddah,4.6,34
234,Casper & Gambini's ,International,Jeddah,4.5,36
235,Solitaire World Cafe,"Cafe, Coffee & Tea, Desserts",Makkah,4.6,8
236,Sinless Cafe,"Bakery, Barbeque & Grill, Cafe",Jeddah,4.5,27
237,Starbucks Coffee Shop ,"Cafe, Coffee & Tea, Desserts",Makkah,4.6,43
238,PF Chang's Restaurant ,"American, Chinese",Jeddah,4.5,51
239,Reverse Restaurant ,"American, International",Jeddah,4.6,78
240,Habits ,"Coffee & Tea, Desserts, Fine Dining",Dammam,4.5,37
241,Khayal Restaurant,"Middle Eastern, Turkish",Jeddah,4.6,37
242,Neuron Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,30
243,Zushi Restaurant ,"International, Japanese",Dammam,4.6,37
244,A Plus Speciality Coffee ,"Breakfast, Cafe, Coffee & Tea",Al Khobar,4.5,35
245,Beef & Wild ,American,Jeddah,4.6,41
246,The Grub Shack ,American,Riyadh,4.5,15
247,Black Potion ,"Breakfast, Cafe, Coffee & Tea",Jeddah,4.6,31
248,L'Avenue Restaurant ,International,Jeddah,4.5,51
249,Over Burger ,American,Riyadh,4.6,28
250,Kiffa Coffee Roasters ,"Cafe, Coffee & Tea, Desserts",Madinah,4.5,32
251,Bicicleta ,International,Jeddah,4.6,14
252,Tim Hortons ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,50
253,Pizza Art ,Italian,Jeddah,4.6,45
254,Bayaz ,"American, Italian, Lebanese",Taif,4.5,13
255,Boho Restaurant and Cafe ,"American, Arabic, International",Taif,4.6,39
256,Century Burger  ,American,Riyadh,4.5,44
257,Scarface Lounge ,"International, Middle Eastern",Dammam,4.6,40
258,Rotana Restaurant ,"Arabic, Asian, Indian",Madinah,4.5,29
259,The Monkey's Lounge ,"American, French",Jeddah,4.6,33
260,Fat Steaks ,"American, Mexican, Turkish",Jeddah,4.5,34
261,Sketch Burger ,American,Jeddah,4.6,25
262,Nafora Restaurant ,International,Jeddah,4.5,26
263,Pampa Grill Steakhouse ,"American, International",Jeddah,4.6,37
